ptp,counterbalancing,rt,correct,mouse_clientX,mouse_clientY,row,col,pa_center_x,pa_center_y,condition,arrangement,learning_stage,block,block_trial_idx,pa_img,pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,pa_img_row_number,pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb2,4.336003683,0,1118,249,3,11,910.109375,416.375,practice,6,schema_pa,1,11,img/targets/BOSS/high_familiarity_downsized/practice/004_candycane01a.jpg,,7,6,19,41,570,375.265625,266.894928,2,2,5,6,6,5,5,10,609,95.59375,702,702,95.59375,1311,797.59375,609,651,115.59375,560,560,115.59375,1211,675.59375,651,681,145.59375,500,500,145.59375,1181,645.59375,681,0,0,942,1920,826,1539
sub_001,cb2,6.304446929,0,778,477,6,2,986.78125,311.03125,practice,6,schema_pa,1,12,img/targets/BOSS/high_familiarity_downsized/practice/005_desktopcomputer.jpg,,2,7,122,76,612,374.75,266.7118976,2,2,6,5,1,10,1,6,609,95.59375,702,702,95.59375,1311,797.59375,609,686,218.59375,560,560,218.59375,1246,778.59375,686,716,248.59375,500,500,248.59375,1216,748.59375,716,0,0,942,1920,826,1539
sub_001,cb2,6.666119787,1,819,513,7,4,819.78125,513.375,schema_c,1,schema_pa,1,1,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,116,34,135,1.15625,0.866589039,1,1,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,644,212.59375,560,560,212.59375,1204,772.59375,644,674,242.59375,500,500,242.59375,1174,742.59375,674,0,0,942,1920,826,1539
sub_001,cb2,2.449157708,0,833,189,2,3,833.1171875,189.0390625,schema_c,1,schema_pa,1,2,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,0,89,177,0.15625,0.123526471,1,1,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,699,96.59375,560,560,96.59375,1259,656.59375,699,729,126.59375,500,500,126.59375,1229,626.59375,729,0,0,942,1920,826,1539
sub_001,cb2,1.796784994,0,759,341,2,3,1050.78125,716.03125,schema_c,1,schema_pa,1,3,img/targets/BOSS/high_familiarity_downsized/cond2/042_curtain.jpg,,11,10,152,15,220,666.8125,475.1681138,1,1,9,2,10,1,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,625,248.59375,560,560,248.59375,1185,808.59375,625,655,278.59375,500,500,278.59375,1155,778.59375,655,0,0,942,1920,826,1539
sub_001,cb2,2.67724319,0,828,663,10,3,828.1171875,330.0390625,schema_c,1,schema_pa,1,4,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,141,84,264,333.078125,332.9609581,2,2,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,694,237.59375,560,560,237.59375,1254,797.59375,694,724,267.59375,500,500,267.59375,1224,767.59375,724,0,0,942,1920,826,1539
sub_001,cb2,1.162907675,0,1144,672,11,10,978.1171875,338.7109375,schema_c,1,schema_pa,1,5,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,108,109,304,499.171875,372.2884724,1,1,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,719,204.59375,560,560,204.59375,1279,764.59375,719,749,234.59375,500,500,234.59375,1249,734.59375,749,0,0,942,1920,826,1539
sub_001,cb2,1.757417376,0,819,209,2,3,860.78125,417.375,schema_c,1,schema_pa,1,6,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,20,75,351,250.15625,212.5225011,2,2,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,685,116.59375,560,560,116.59375,1245,676.59375,685,715,146.59375,500,500,146.59375,1215,646.59375,715,0,0,942,1920,826,1539
sub_001,cb2,3.515541989,0,861,312,2,3,986.1171875,353.7109375,schema_c,1,schema_pa,1,7,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,123,117,393,166.828125,131.8867428,2,2,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,727,219.59375,560,560,219.59375,1287,779.59375,727,757,249.59375,500,500,249.59375,1257,749.59375,757,0,0,942,1920,826,1539
sub_001,cb2,4.12704081,0,1134,514,8,11,1134.445313,514.0390625,schema_c,1,schema_pa,1,8,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,75,57,436,0.484375,0.447022484,1,1,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,667,171.59375,560,560,171.59375,1227,731.59375,667,697,201.59375,500,500,201.59375,1197,701.59375,697,0,0,942,1920,826,1539
sub_001,cb2,1.115760026,1,942,260,3,6,942.1171875,260.7109375,schema_c,1,schema_pa,1,9,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,30,73,476,0.828125,0.720531081,3,3,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,683,126.59375,560,560,126.59375,1243,686.59375,683,713,156.59375,500,500,156.59375,1213,656.59375,713,0,0,942,1920,826,1539
sub_001,cb2,5.55901077,0,874,646,10,3,1207.445313,563.0390625,schema_c,1,schema_pa,1,10,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,124,130,519,416.40625,343.6106715,2,2,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,740,220.59375,560,560,220.59375,1300,780.59375,740,770,250.59375,500,500,250.59375,1270,750.59375,770,0,0,942,1920,826,1539
sub_001,cb2,4.298170995,0,819,550,10,3,860.78125,425.375,schema_c,1,schema_pa,1,11,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,28,75,563,166.40625,131.4422439,3,3,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,685,124.59375,560,560,124.59375,1245,684.59375,685,715,154.59375,500,500,154.59375,1215,654.59375,715,0,0,942,1920,826,1539
sub_001,cb2,6.704475932,1,811,671,10,3,811.109375,671.375,schema_c,1,schema_pa,1,12,img/targets/BOSS/high_familiarity_downsized/cond2/032_flipflop01b.jpg,,10,3,149,67,606,0.484375,0.390625,1,1,2,9,9,2,2,4,609,95.59375,702,702,95.59375,1311,797.59375,609,677,245.59375,560,560,245.59375,1237,805.59375,677,707,275.59375,500,500,275.59375,1207,775.59375,707,0,0,942,1920,826,1539
sub_001,cb2,7.756602568,1,771,244,2,3,771.1171875,244.0390625,schema_c,1,schema_pa,1,13,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,55,27,646,0.15625,0.123526471,3,3,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,637,151.59375,560,560,151.59375,1197,711.59375,637,667,181.59375,500,500,181.59375,1167,681.59375,667,0,0,942,1920,826,1539
sub_001,cb2,3.565753916,1,1219,456,8,11,1219.445313,456.0390625,schema_c,1,schema_pa,1,14,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,17,142,688,0.484375,0.447022484,3,3,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,752,113.59375,560,560,113.59375,1312,673.59375,752,782,143.59375,500,500,143.59375,1282,643.59375,782,0,0,942,1920,826,1539
sub_001,cb2,5.261527432,0,922,436,7,4,881.109375,561.375,schema_c,1,schema_pa,1,15,img/targets/BOSS/high_familiarity_downsized/cond2/032_flipflop01b.jpg,,10,3,39,137,731,166.265625,131.8746899,2,2,2,9,9,2,2,4,609,95.59375,702,702,95.59375,1311,797.59375,609,747,135.59375,560,560,135.59375,1307,695.59375,747,777,165.59375,500,500,165.59375,1277,665.59375,777,0,0,942,1920,826,1539
sub_001,cb2,7.721820174,0,1170,519,8,11,1128.78125,644.03125,schema_c,1,schema_pa,1,16,img/targets/BOSS/high_familiarity_downsized/cond2/042_curtain.jpg,,11,10,80,93,772,166.25,131.6502899,2,2,9,2,10,1,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,703,176.59375,560,560,176.59375,1263,736.59375,703,733,206.59375,500,500,206.59375,1233,706.59375,733,0,0,942,1920,826,1539
sub_001,cb2,0.668040505,0,1206,573,8,11,998.1171875,364.7109375,schema_c,1,schema_pa,1,17,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,134,129,816,416.171875,294.2780952,4,4,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,739,230.59375,560,560,230.59375,1299,790.59375,739,769,260.59375,500,500,260.59375,1269,760.59375,769,0,0,942,1920,826,1539
